,k,points_per_color,seed,weight_method,use_subsampling,subsample_ratio,majority_share,runtime
117,4,"[2000, 3000]",7,uniform,True,0.03,1.0,2.8866989612579346
118,4,"[2000, 3000]",7,uniform,True,0.04,1.0,3.341205596923828
119,4,"[2000, 3000]",7,uniform,True,0.05,0.9375,3.7932393550872803
120,4,"[1250, 3750]",8,uniform,True,0.01,1.0,2.2947936058044434
121,4,"[1250, 3750]",8,uniform,True,0.02,1.0,2.5849640369415283
122,4,"[1250, 3750]",8,uniform,True,0.03,1.0,2.8764936923980713
123,4,"[1250, 3750]",8,uniform,True,0.04,1.0,3.4218239784240723
124,4,"[1250, 3750]",8,uniform,True,0.05,1.0,4.26444149017334
125,4,"[1666, 3334]",8,uniform,True,0.01,1.0,2.243741750717163
126,4,"[1666, 3334]",8,uniform,True,0.02,1.0,2.433725357055664
127,4,"[1666, 3334]",8,uniform,True,0.03,1.0,2.955637216567993
128,4,"[1666, 3334]",8,uniform,True,0.04,1.0,3.318838596343994
129,4,"[1666, 3334]",8,uniform,True,0.05,1.0,3.866562843322754
130,4,"[2000, 3000]",8,uniform,True,0.01,1.0,2.351706027984619
131,4,"[2000, 3000]",8,uniform,True,0.02,1.0,2.633100986480713
132,4,"[2000, 3000]",8,uniform,True,0.03,1.0,3.0417871475219727
133,4,"[2000, 3000]",8,uniform,True,0.04,1.0,3.595977783203125
134,4,"[2000, 3000]",8,uniform,True,0.05,1.0,4.341552734375
135,4,"[1250, 3750]",9,uniform,True,0.01,1.0,2.2810094356536865
136,4,"[1250, 3750]",9,uniform,True,0.02,1.0,2.6334166526794434
137,4,"[1250, 3750]",9,uniform,True,0.03,1.0,2.983771562576294
138,4,"[1250, 3750]",9,uniform,True,0.04,1.0,3.7240591049194336
139,4,"[1250, 3750]",9,uniform,True,0.05,1.0,4.172504186630249
140,4,"[1666, 3334]",9,uniform,True,0.01,1.0,2.2718472480773926
141,4,"[1666, 3334]",9,uniform,True,0.02,1.0,2.544318199157715
142,4,"[1666, 3334]",9,uniform,True,0.03,1.0,2.90830397605896
143,4,"[1666, 3334]",9,uniform,True,0.04,1.0,3.4830615520477295
144,4,"[1666, 3334]",9,uniform,True,0.05,1.0,4.37313437461853
145,4,"[2000, 3000]",9,uniform,True,0.01,1.0,2.3577280044555664
146,4,"[2000, 3000]",9,uniform,True,0.02,1.0,2.562800884246826
147,4,"[2000, 3000]",9,uniform,True,0.03,1.0,2.980342388153076
148,4,"[2000, 3000]",9,uniform,True,0.04,1.0,3.370828866958618
149,4,"[2000, 3000]",9,uniform,True,0.05,1.0,3.9590744972229004
